45.57.74.183;10.0.2.16;443;40394;2;0x00000303;4865;43,51;;;
45.57.74.183;10.0.2.16;443;40396;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.74.183;40398;443;1;0x00000303;27242,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,23130,41;ipv4-c092-fra002-ix.1.oca.nflxvideo.net;0x00007a7a,0x0000001d,0x00000017,0x00000018;0
45.57.74.183;10.0.2.16;443;40398;2;0x00000303;4865;43,51,41;;;
10.0.2.16;45.57.74.183;40400;443;1;0x00000303;10794,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,31354,41;ipv4-c092-fra002-ix.1.oca.nflxvideo.net;0x00006a6a,0x0000001d,0x00000017,0x00000018;0
45.57.74.183;10.0.2.16;443;40400;2;0x00000303;4865;43,51,41;;;
10.0.2.16;45.57.16.150;40858;443;1;0x00000303;2570,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;47802,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,43690,21;ipv4-c041-vie001-ix.1.oca.nflxvideo.net;0x00000a0a,0x0000001d,0x00000017,0x00000018;0
45.57.16.150;10.0.2.16;443;40858;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.133;51470;443;1;0x00000303;47802,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,39578,21;ipv4-c007-vie001-ix.1.oca.nflxvideo.net;0x00004a4a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.16.133;51472;443;1;0x00000303;35466,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;19018,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,2570,21;ipv4-c007-vie001-ix.1.oca.nflxvideo.net;0x00004a4a,0x0000001d,0x00000017,0x00000018;0
45.57.16.133;10.0.2.16;443;51470;2;0x00000303;4865;43,51;;;
45.57.16.133;10.0.2.16;443;51472;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.139;51812;443;1;0x00000303;6682,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;10794,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,31354,21;ipv4-c021-vie001-ix.1.oca.nflxvideo.net;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.16.139;51814;443;1;0x00000303;19018,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;56026,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,2570,21;ipv4-c021-vie001-ix.1.oca.nflxvideo.net;0x00005a5a,0x0000001d,0x00000017,0x00000018;0
45.57.16.139;10.0.2.16;443;51812;2;0x00000303;4865;43,51;;;
45.57.16.139;10.0.2.16;443;51814;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.156;46136;443;1;0x00000303;51914,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;10794,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,6682,21;ipv4-c050-vie001-ix.1.oca.nflxvideo.net;0x00003a3a,0x0000001d,0x00000017,0x00000018;0
45.57.16.156;10.0.2.16;443;46136;2;0x00000303;4865;43,51;;;
10.0.2.16;35.190.88.7;57946;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;sessions.bugsnag.com;0x0000001d,0x00000017,0x00000018;0
35.190.88.7;10.0.2.16;443;57946;2;0x00000303;4865;51,43;;;
10.0.2.16;52.211.240.52;37338;443;1;0x00000303;31354,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;2570,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,60138,21;android-appboot.netflix.com;0x00006a6a,0x0000001d,0x00000017,0x00000018;0
52.211.240.52;10.0.2.16;443;37338;2;0x00000303;49199;65281,11;;;0,1,2
10.0.2.16;54.170.173.133;36090;443;1;0x00000303;31354,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;51914,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,21;android-h2.prod.ftl.netflix.com;0x0000caca,0x0000001d,0x00000017,0x00000018;0
54.170.173.133;10.0.2.16;443;36090;2;0x00000303;4865;51,43;;;
10.0.2.16;99.81.251.69;38970;443;1;0x00000303;2570,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,31354,21;android.prod.cloud.netflix.com;0x00006a6a,0x0000001d,0x00000017,0x00000018;0
99.81.251.69;10.0.2.16;443;38970;2;0x00000303;4865;51,43;;;
10.0.2.16;45.57.16.153;55570;443;1;0x00000303;43690,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;47802,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,43690,21;occ-0-1490-1489.1.nflxso.net;0x00006a6a,0x0000001d,0x00000017,0x00000018;0
45.57.16.153;10.0.2.16;443;55570;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.153;55572;443;1;0x00000303;51914,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;56026,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,51914,41;occ-0-1490-1489.1.nflxso.net;0x00000a0a,0x0000001d,0x00000017,0x00000018;0
45.57.16.153;10.0.2.16;443;55572;2;0x00000303;4865;43,51,41;;;
10.0.2.16;45.57.16.153;55574;443;1;0x00000303;6682,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;2570,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,41;occ-0-1490-1489.1.nflxso.net;0x00008a8a,0x0000001d,0x00000017,0x00000018;0
